handle,followers,n,median_views,median_vpf,share_above_topic_median,share_ai_or_3d,share_high_quality,share_shoppable,account_kind,top_topic_groups,earliest_known_post,followers_per_day_since_first_known_post,observed_monetization_types,deep_profiled,score_virality,score_consistency,score_reach,score_growth,score_repeatability,score_ai_suitability,score_monetizability,score_quality,score_originality,score_total,rank,outperformer
dhrh_construction,125000.0,2,128600.0,1.0288,1.0,0.5,1.0,0.5,contractor_trade,unusual_home;luxury_home,,,0,False,0.264,0.881,0.184,0.0,0.318,0.51,0.452,0.753,0.655,0.4209,176,False
vacations,7000000.0,4,669500.0,0.09564285714285714,1.0,0.0,0.5,0.0,theme_page,hotel_resort;location,2020-09-02,3161.698283649503,0,False,0.069,0.881,0.563,0.865,0.854,0.238,0.172,0.274,0.19,0.4199,177,False
theluxuryhomeshow,2000000.0,9,202000.0,0.101,0.4444444444444444,0.0,0.8888888888888888,0.2222222222222222,media_publication,luxury_home;location;style,2024-10-02,2766.2517289073307,1,True,0.08,0.218,0.234,0.854,0.989,0.238,0.851,0.502,0.036,0.4182,178,False
tarakanovadesign,347000.0,2,1760500.0,5.073487031700289,0.5,0.0,0.0,1.0,designer_studio,style;interior_generic,,,0,False,0.628,0.397,0.755,0.0,0.318,0.238,0.701,0.065,0.655,0.4176,179,True
ant.archviz,214000.0,2,301500.0,1.4088785046728973,0.5,1.0,1.0,0.0,designer_studio,ai,,,0,False,0.337,0.397,0.326,0.0,0.318,0.793,0.172,0.753,0.655,0.4157,180,False
inakiencasas,238000.0,2,2400000.0,10.084033613445378,0.5,0.0,0.5,0.0,real_estate,unusual_home;location,,,0,False,0.739,0.397,0.82,0.0,0.318,0.238,0.172,0.274,0.655,0.4144,181,True
fortune.sketches,791000.0,2,1926000.0,2.4348925410872315,0.5,1.0,0.5,0.0,theme_page,unusual_home;future_arch,,,0,False,0.456,0.397,0.77,0.0,0.318,0.793,0.172,0.274,0.19,0.4127,182,False
theroomedit007,13000.0,2,30207.0,2.3236153846153846,0.5,1.0,1.0,0.0,ai_creator,style;unusual_home,,,0,False,0.448,0.397,0.065,0.0,0.318,0.793,0.172,0.753,0.655,0.4119,183,False
cyborg.digitalart,967000.0,2,1096000.0,1.1334022750775594,0.0,1.0,1.0,0.0,ai_creator,ai,,,0,False,0.291,0.073,0.678,0.0,0.318,0.793,0.172,0.753,0.655,0.4094,184,False
ringchen.furniture,144000.0,2,597000.0,4.145833333333334,0.5,0.0,0.5,1.0,brand_manufacturer,interior_generic,,,0,False,0.59,0.397,0.533,0.0,0.318,0.238,0.701,0.274,0.655,0.4086,185,False
nesthome.03,39000.0,3,102000.0,2.6153846153846154,0.3333333333333333,1.0,0.6666666666666666,0.0,theme_page,cozy_ambience,2026-04-30,263.5135135135135,0,True,0.475,0.184,0.157,0.18,0.718,0.793,0.172,0.412,0.19,0.4058,186,False
helenjzhao,55000.0,2,1603500.0,29.154545454545456,0.5,0.0,0.5,0.0,other,location,,,0,False,0.881,0.397,0.747,0.0,0.318,0.238,0.172,0.274,0.036,0.4045,187,True
barnesrealty,391000.0,2,399500.0,1.0217391304347827,1.0,0.0,1.0,0.5,real_estate,location,,,0,False,0.261,0.881,0.418,0.0,0.318,0.238,0.452,0.753,0.655,0.4027,188,False
interior_home_design1,688000.0,8,27500.0,0.03997093023255814,0.375,1.0,0.875,0.125,theme_page,ai;future_arch;unusual_home,2024-11-11,1007.3206442166911,0,False,0.011,0.199,0.057,0.629,0.989,0.793,0.345,0.496,0.19,0.4023,189,False
earth_esence,11000.0,2,34300.0,3.118181818181818,0.0,1.0,0.5,1.0,ai_creator,unusual_home,,,0,False,0.517,0.073,0.077,0.0,0.318,0.793,0.701,0.274,0.655,0.3994,190,False
interioralchemyhq,6000.0,3,7208.0,1.2013333333333334,0.0,0.5,1.0,1.0,designer_studio,style;luxury_room,,,0,False,0.31,0.073,0.011,0.0,0.718,0.51,0.701,0.753,0.655,0.3969,191,False
ibuilddevelopers,601000.0,4,312500.0,0.5199667221297837,0.25,0.0,0.0,1.0,contractor_trade,luxury_room;luxury_home,2026-01-24,2463.1147540983607,0,False,0.176,0.157,0.333,0.82,0.854,0.238,0.701,0.065,0.655,0.3968,192,False
remodel_design_,77000.0,3,73700.0,0.9571428571428572,0.0,1.0,1.0,0.6666666666666666,theme_page,future_arch;fantasy_dream;luxury_room,,,0,False,0.253,0.073,0.107,0.0,0.718,0.793,0.525,0.753,0.19,0.3966,193,False
andreaday_travel,38000.0,2,245950.0,6.472368421052631,0.5,0.0,1.0,0.0,lifestyle_influencer,hotel_resort,,,0,False,0.678,0.397,0.272,0.0,0.318,0.238,0.172,0.753,0.655,0.3952,194,True
deirdres_design,1000000.0,4,26650.0,0.02665,0.0,0.75,0.5,0.75,theme_page,luxury_room;style,2025-02-09,1686.3406408094436,3,True,0.004,0.073,0.05,0.775,0.854,0.563,0.969,0.274,0.19,0.3943,195,False
_.decor_and_more._,227000.0,2,343000.0,1.5110132158590308,0.5,0.0,1.0,1.0,designer_studio,luxury_room,,,0,False,0.356,0.397,0.372,0.0,0.318,0.238,0.701,0.753,0.655,0.3937,196,False
luxuryhouseview,389000.0,10,158000.0,0.40616966580976865,0.4,0.8,0.3,0.7,theme_page,future_arch;luxury_home;interior_generic,2025-09-01,1000.0,0,True,0.142,0.209,0.215,0.607,0.989,0.571,0.548,0.134,0.19,0.3935,197,False
balamoda,410000.0,2,506000.0,1.2341463414634146,1.0,0.0,1.0,0.0,lifestyle_influencer,luxury_home;location,,,0,False,0.318,0.881,0.485,0.0,0.318,0.238,0.172,0.753,0.655,0.3929,198,False
ai.perfect.world,14000.0,3,3447.0,0.24621428571428572,0.0,1.0,0.6666666666666666,0.0,ai_creator,location;ai;unusual_home,2024-08-19,18.252933507170795,3,True,0.119,0.073,0.008,0.011,0.718,0.793,0.939,0.412,0.655,0.3915,199,False
takemyhearteverywhere,1000000.0,3,409000.0,0.409,0.6666666666666666,0.0,1.0,0.3333333333333333,lifestyle_influencer,location;pool,,,0,False,0.146,0.644,0.433,0.0,0.718,0.238,0.379,0.753,0.655,0.3902,200,False
estudiolfarq,651000.0,2,342000.0,0.5253456221198156,0.5,1.0,1.0,0.0,designer_studio,luxury_home,,,0,False,0.18,0.397,0.36,0.0,0.318,0.793,0.172,0.753,0.655,0.3877,201,False
kaiboet,368000.0,2,413000.0,1.1222826086956523,0.5,0.0,1.0,1.0,lifestyle_influencer,style,,,0,False,0.287,0.397,0.437,0.0,0.318,0.238,0.701,0.753,0.655,0.3864,202,False
navafamilytx,794000.0,2,1539500.0,1.9389168765743072,1.0,0.0,0.5,0.0,lifestyle_influencer,luxury_home,,,0,False,0.398,0.881,0.736,0.0,0.318,0.238,0.172,0.274,0.655,0.3862,203,False
