handle,n_reels_in_topics,max_views,median_views,sum_views,n_topics,topics
conradboraboranui,1,25100,25100,25100,1,bora-bora-luxury-hotels
bvlgariresortbali,1,24900,24900,24900,1,bali-infinity-pool-villas
anaya.escapes,1,24800,24800,24800,2,bali-infinity-pool-villas;bali-luxury-villas-with-private-pools
yamaseika.okinawa,1,24800,24800,24800,1,glass-house-in-forest
wiwiek_widya,1,24700,24700,24700,1,glass-house
antoinebn,1,24500,24500,24500,1,architecture-photography
millionaire_homes,2,24300,21100,42200,2,luxury-mansion;mansion-tour
americas_realtor,1,24300,24300,24300,1,luxury-modern-beautiful-house
ulohlifestyl,1,24200,24200,24200,3,dreamy-walk-in-closet-designs-ideas;luxury-closet;walk-in-closet
xenosphera,1,24200,24200,24200,1,futuristic-architecture
by.abdulstudio,1,23900,23900,23900,1,wabi-sabi-interior
agentthorburn,1,23700,23700,23700,1,miami-mansion
meggieferrerhome,1,23700,23700,23700,1,coastal-bedroom-design-ideas
lamaisonarabe,1,23600,23600,23600,1,marrakech-riad
hawaiitinyhomes,1,23500,23500,23500,1,container-house
staycationsoloraya,1,23500,23500,23500,1,santorini-villa
alexandradts,1,23100,23100,23100,1,bali-infinity-pool-villas
tremrahcelik,1,23100,23100,23100,1,faroe-islands-luxury-villas
danzadeldesign,1,23000,23000,23000,2,japandi-serenity-bedroom-design-ideas;wabi-sabi-interior
zibaq.inc,1,23000,23000,23000,2,luxury-modern-beautiful-house;ultra-modern-luxury-house-design
kamolonthepalm,1,22900,22900,22900,2,dubai-luxury-penthouse;dubai-penthouse
chuvadanaturezaa,1,22700,22700,22700,1,rain-sounds
lyubovspaces,1,22600,22600,22600,1,desert-house
architectures0ciety,1,22600,22600,22600,1,luxury-apartment
aguzm.imagine,1,22500,22500,22500,1,futuristic-architecture-designs-2026
ubud.property,1,22200,22200,22200,1,bali-infinity-pool-villas
m.a_customcabinets,1,21900,21900,21900,1,modern-kitchen
relaxingwithraine,1,21900,21900,21900,1,tropical-house-architecture-styles
villamurah_diubud,1,21900,21900,21900,1,bali-infinity-pool-villas
mrsbarbarankansah,1,21700,21700,21700,1,bathroom-design
nature._.serenity,1,21600,21600,21600,1,ai-generated-house
luxurysevenstars,1,21400,21400,21400,2,ai-interior;futuristic-home
fang_tokyo_us,1,21300,21300,21300,1,tokyo-apartment
interioralchemyhq,3,21300,7208,35456,3,green-minimalist-interior-design;luxury-living-room;minimalist-art-deco-interior-design
pushpinder.revo,1,21200,21200,21200,1,dubai-villa
danbcustomclosets,1,21000,21000,21000,1,luxury-closet
abita.house,1,21000,21000,21000,1,industrial-interior
travelopod,1,21000,21000,21000,1,luxury-hotel
adionainteriors,1,21000,21000,21000,1,dream-kitchens
clasycore,1,20900,20900,20900,1,luxury-lifestyle
cheilanicki,1,20600,20600,20600,1,marrakech-riad
theusarmenians,1,20500,20500,20500,1,impossible-architecture
kochteam,1,20400,20400,20400,1,houses-on-malibu-beach
toronto.luxury.houses,1,20200,20200,20200,1,luxury-real-estate-mansion-exterior
noahhillcabin,1,20000,20000,20000,1,a-frame-cabin
thewelldressedaspen,1,20000,20000,20000,1,aspen
architectural.desiign,1,20000,20000,20000,1,desert-modern-house-tours
cypriot.ai,1,19700,19700,19700,1,saudi-arabia-architecture
matthew_giampietro,1,19600,19600,19600,1,luxury-garden
barbosalandscaping,1,19600,19600,19600,2,landscape-design;landscape-design-ai
the.moodcrafters,1,19500,19500,19500,1,mid-century-modern-living-room-ideas
makeshopfurnishings,1,19300,19300,19300,1,organic-modern-kitchen-designs
nestor_milic,1,19200,19200,19200,1,penthouse-tour
visitnewyork,1,19100,19100,19100,1,rooftop-pool
hazel._finds,1,19000,19000,19000,1,dream-room
interiorvisiondrawnbyhand,1,19000,19000,19000,1,minimalist-art-deco-interior-design
cozyroom_10,2,19000,16250,32500,2,future-home;rain-cozy
hansendesignfirm,1,18600,18600,18600,1,home-office-design
dee_interiors_haven,1,18600,18600,18600,1,organic-modern-kitchen-designs
ellys.spaces,1,18500,18500,18500,1,industrial-chic-interior-design
the.sustainable.bungalow,1,18200,18200,18200,1,home-office-design
arcsurfaces.co,1,18200,18200,18200,1,wabi-sabi-interior
travelwithdalt,1,18200,18200,18200,1,treehouse-hotel
dreamespaceai,1,18100,18100,18100,3,ai-house-design;ai-interior;futuristic-home
neuuralviibes,1,18000,18000,18000,1,inside-underground-bunker-house
