handle,expected_handle,handle_mismatch,display_name,followers_text,followers,posts_text,posts,verified,sample_shortcode,sample_likes,sample_comments,source_url,fetched_at,status
bespokehomecinemas,bespokehomecinemas,False,bespokehomecinemas,17K,17000,673,673,unknown,DCj0SBAMUhU,796,19,https://www.instagram.com/reel/DCj0SBAMUhU/embed/captioned/,2026-09-25,VERIFIED
ayeshadeary5,ayeshadeary5,False,ayeshadeary5,16K,16000,28,28,unknown,C-APLc-yI85,283121,21821,https://www.instagram.com/reel/C-APLc-yI85/embed/captioned/,2026-09-25,VERIFIED
interiorsbyplatinum,interiorsbyplatinum,False,interiorsbyplatinum,16K,16000,385,385,unknown,DXqngl_DB4Q,25918,,https://www.instagram.com/reel/DXqngl_DB4Q/embed/captioned/,2026-09-25,VERIFIED
klosetworx,klosetworx,False,klosetworx,16K followers,16000,198 posts,198,unknown,DaYMvFlp6Rq,10467,79,https://www.instagram.com/reel/DaYMvFlp6Rq/embed/captioned/,2026-09-25,VERIFIED
designandcurations,designandcurations,False,designandcurations,16K,16000,730,730,unknown,DQ4OegsDBCT,319,,https://www.instagram.com/reel/DQ4OegsDBCT/embed/captioned/,2026-09-25,VERIFIED
dreamimaged,dreamimaged,False,dreamimaged,16K,16000,394,394,unknown,DUfZAuIDxEj,405,28,https://www.instagram.com/reel/DUfZAuIDxEj/embed/captioned/,2026-09-25,VERIFIED
pune_designer,pune_designer,False,pune_designer,15K,15000,136,136,no,DW2355fiMXs,101693,150,https://www.instagram.com/reel/DW2355fiMXs/embed/captioned/,2026-09-25,VERIFIED
pentarkdesign,pentarkdesign,False,pentarkdesign,15K,15000,533,533,unknown,DVK9k-mEa_S,52931,40,https://www.instagram.com/reel/DVK9k-mEa_S/embed/captioned/,2026-09-25,VERIFIED
shivay_._interior,shivay_._interior,False,shivay_._interior,15K followers,15000,125 posts,125,unknown,DW0pF5RDKcB,3598,19,https://www.instagram.com/reel/DW0pF5RDKcB/embed/captioned/,2026-09-25,VERIFIED
itsnovajeff,itsnovajeff,False,Burgundy X · Boss Moves,15K,15000,123,123,no,DH3KaeTRna0,136,,https://www.instagram.com/reel/DH3KaeTRna0/embed/captioned/,2026-09-25,VERIFIED
home_automation_panipat,home_automation_panipat,False,home_automation_panipat,14K,14000,497,497,no,DUri1kQk42N,1912,30,https://www.instagram.com/reel/DUri1kQk42N/embed/captioned/,2026-09-25,VERIFIED
d_design.studio._,d_design.studio._,False,d_design.studio._,13K,13000,289,289,unknown,DU0_4QEEuAM,2368,8,https://www.instagram.com/reel/DU0_4QEEuAM/embed/captioned/,2026-09-25,VERIFIED
