shortcode,handle,views,views_text,topics,caption,url,source
DP0eKr0joHI,ghstudio._,19700000,19.7M,house-in-the-forest,My Best Games Ever - 99 NIGHT IN THE FOREST | ROBLOX ANIMATION #roblox #nightintheforest,https://www.instagram.com/reel/DP0eKr0joHI/,https://www.instagram.com/popular/house-in-the-forest/
CyGpI71u_QA,jiqbalrealtor,19500000,19.5M,luxury-penthouse,"your dreamy nyc penthouse✨🌆 Follow @jiqbalrealtor for more content! For Inquiries contact me, Fill out the form link in",https://www.instagram.com/reel/CyGpI71u_QA/,https://www.instagram.com/popular/luxury-penthouse/
DW1VSs9DdYd,sanyamboraarchitects,19300000,19.3M,architecture,Some projects give themselves away the moment you lay eyes on them. And it's not because of a pretty rend,https://www.instagram.com/reel/DW1VSs9DdYd/,https://www.instagram.com/popular/architecture/
Da53cv3Tc-Q,_velvet_abode,18900000,18.9M,room-makeover,#home #Roommakeover #aesthetic #pintrest,https://www.instagram.com/reel/Da53cv3Tc-Q/,https://www.instagram.com/popular/room-makeover/
C9z7ny9syhE,reschio,18800000,18.8M,luxury-pool,"In the intense summer heat, Reschio remains an oasis of serenity. The castle swimming pool, ben",https://www.instagram.com/reel/C9z7ny9syhE/,https://www.instagram.com/popular/luxury-pool/
ChOvEWRq9Og,jetset_anna,18800000,18.8M,lake-como-villa,"Possibly one of my most favourite places in the whole of Lake Como, is the beautiful Villa del Balbianello 💙 The villa was originally a private reside",https://www.instagram.com/reel/ChOvEWRq9Og/,https://www.instagram.com/popular/lake-como-villa/
DWrf3s5kzC7,thehomopien,18500000,18.5M,inside-underground-bunker-house,I Built a Luxury Tiny House Inside an Underground Bunker #transformation #bunker #underground,https://www.instagram.com/reel/DWrf3s5kzC7/,https://www.instagram.com/popular/inside-underground-bunker-house/
C8x0GQBOeG9,karolaineponci,18100000,18.1M,amalfi-coast,"I fell in love and now I want to visit this beautiful place 📍Positano, Amalfi Coast, Italy 🇮🇹",https://www.instagram.com/reel/C8x0GQBOeG9/,https://www.instagram.com/popular/amalfi-coast/
DWtdzmuDh4P,diycraftstvofficial,17600000,17.6M,container-home-luxury-models-2026,Luxury Container Villa Village With Private Pools,https://www.instagram.com/reel/DWtdzmuDh4P/,https://www.instagram.com/popular/container-home-luxury-models-2026/
DMJWZAYxYLS,ariffathulhakim,17400000,17.4M,rainy-day,can we pls talk about the beauty of rainy summer days ⛈️☔️ #newyork,https://www.instagram.com/reel/DMJWZAYxYLS/,https://www.instagram.com/popular/rainy-day/
